Age,Height_cm,Weight_kg,BMI,Gender,FitnessGoal,Level,WorkoutsPerWeek,WalksPerWeek,HealthCondition,ActivityLevel,WorkoutType,DietType
56,178,64,20.2,Male,Endurance,Beginner,0,3,None,Lightly Active,Cardio,Balanced
46,196,70,18.2,Male,Endurance,Professional,6,5,None,Very Active,Cardio,Balanced
32,153,73,31.2,Male,Flexibility,Professional,5,1,None,Active,Flexibility,Balanced
25,161,45,17.4,Female,Flexibility,Beginner,2,0,None,Lightly Active,Flexibility,Balanced
38,194,79,21.0,Female,Muscle Gain,Intermediate,4,4,None,Active,Strength,High Protein
56,151,114,50.0,Male,Flexibility,Intermediate,4,3,None,Active,Flexibility,Balanced
36,176,103,33.3,Female,Muscle Gain,Intermediate,1,3,None,Lightly Active,Strength,High Protein
40,180,113,34.9,Male,Endurance,Beginner,2,4,None,Active,Cardio,Balanced
28,185,77,22.5,Male,Endurance,Intermediate,2,3,None,Active,Cardio,Balanced
28,185,95,27.8,Female,Weight Loss,Beginner,1,2,None,Lightly Active,Cardio,Calorie Deficit
41,175,56,18.3,Female,Endurance,Beginner,5,3,None,Very Active,Cardio,Balanced
53,192,64,17.4,Female,Muscle Gain,Professional,5,7,Diabetes,Very Active,Strength,Low GI Balanced
57,176,97,31.3,Male,Flexibility,Intermediate,5,4,None,Very Active,Flexibility,Balanced
41,154,87,36.7,Female,Weight Loss,Beginner,2,3,Heart Condition,Active,Low-Impact Cardio,Calorie Deficit
20,169,94,32.9,Female,Muscle Gain,Intermediate,3,4,None,Active,Strength,High Protein
39,160,73,28.5,Female,Flexibility,Intermediate,3,7,None,Very Active,Flexibility,Balanced
19,159,101,40.0,Female,Weight Loss,Professional,3,3,None,Active,Cardio,Calorie Deficit
41,189,83,23.2,Female,Endurance,Intermediate,2,5,None,Active,Cardio,Balanced
47,187,100,28.6,Female,Muscle Gain,Professional,6,5,None,Very Active,Strength,High Protein
55,155,87,36.2,Female,Flexibility,Beginner,3,4,None,Active,Flexibility,Balanced
19,157,94,38.1,Non-binary/Other,Weight Loss,Intermediate,4,2,None,Active,Cardio,Calorie Deficit
38,172,67,22.6,Female,Weight Loss,Beginner,3,4,None,Active,Cardio,Calorie Deficit
50,196,88,22.9,Male,Endurance,Intermediate,6,1,None,Very Active,Cardio,Balanced
29,175,82,26.8,Female,Flexibility,Beginner,0,4,None,Lightly Active,Flexibility,Balanced
39,195,67,17.6,Male,Endurance,Intermediate,3,5,None,Active,Cardio,Balanced
42,192,89,24.1,Male,Endurance,Intermediate,3,3,None,Active,Cardio,Balanced
44,161,96,37.0,Female,Flexibility,Intermediate,5,6,None,Very Active,Flexibility,Balanced
59,175,94,30.7,Female,Flexibility,Intermediate,7,1,None,Very Active,Flexibility,Balanced
45,162,52,19.8,Female,Flexibility,Intermediate,3,6,Joint Pain,Active,Low-Impact Strength/Range,Balanced
33,189,45,12.6,Male,Muscle Gain,Intermediate,6,4,Asthma,Very Active,Strength,High Protein
32,167,52,18.6,Female,Flexibility,Intermediate,5,3,None,Very Active,Flexibility,Balanced
20,174,73,24.1,Male,Weight Loss,Intermediate,3,2,None,Active,Cardio,Calorie Deficit
54,182,49,14.8,Non-binary/Other,Endurance,Intermediate,3,7,None,Very Active,Cardio,Balanced
24,196,91,23.7,Non-binary/Other,Muscle Gain,Beginner,2,1,None,Lightly Active,Strength,High Protein
38,189,78,21.8,Female,Flexibility,Professional,7,3,None,Very Active,Flexibility,Balanced
26,192,109,29.6,Female,Muscle Gain,Intermediate,2,3,None,Active,Strength,High Protein
56,161,99,38.2,Female,Flexibility,Professional,6,5,None,Very Active,Flexibility,Balanced
35,193,87,23.4,Female,Muscle Gain,Intermediate,3,4,None,Active,Strength,High Protein
21,185,118,34.5,Male,Endurance,Intermediate,5,2,None,Active,Cardio,Balanced
42,197,74,19.1,Male,Endurance,Beginner,3,3,None,Active,Cardio,Balanced
31,153,61,26.1,Female,Weight Loss,Beginner,3,2,None,Active,Cardio,Calorie Deficit
26,154,70,29.5,Female,Weight Loss,Professional,6,3,None,Very Active,Cardio,Calorie Deficit
43,186,52,15.0,Male,Flexibility,Beginner,4,3,None,Active,Flexibility,Balanced
19,157,91,36.9,Female,Endurance,Beginner,5,5,Diabetes,Very Active,Cardio,Low GI Balanced
37,191,116,31.8,Male,Muscle Gain,Professional,2,3,None,Active,Strength,High Protein
45,198,90,23.0,Female,Muscle Gain,Beginner,4,3,None,Active,Strength,High Protein
24,177,112,35.7,Female,Muscle Gain,Intermediate,2,4,None,Active,Strength,High Protein
25,180,77,23.8,Female,Weight Loss,Professional,5,7,None,Very Active,Cardio,Calorie Deficit
52,158,45,18.0,Female,Muscle Gain,Professional,5,7,None,Very Active,Strength,High Protein
31,178,63,19.9,Male,Weight Loss,Intermediate,3,5,Asthma,Active,Moderate Cardio,Calorie Deficit
34,163,75,28.2,Male,Weight Loss,Beginner,3,3,Heart Condition,Active,Low-Impact Cardio,Calorie Deficit
53,189,58,16.2,Female,Flexibility,Professional,7,1,None,Very Active,Flexibility,Balanced
57,190,97,26.9,Female,Muscle Gain,Professional,3,3,None,Active,Strength,High Protein
21,171,92,31.5,Male,Muscle Gain,Intermediate,5,3,None,Very Active,Strength,High Protein
19,160,113,44.1,Female,Endurance,Intermediate,3,4,None,Active,Cardio,Balanced
23,172,106,35.8,Male,Flexibility,Beginner,1,5,None,Active,Flexibility,Balanced
59,150,110,48.9,Female,Endurance,Professional,3,6,None,Active,Cardio,Balanced
21,195,108,28.4,Female,Flexibility,Beginner,5,5,None,Very Active,Flexibility,Balanced
46,186,114,33.0,Male,Muscle Gain,Beginner,5,3,None,Very Active,Strength,High Protein
35,170,107,37.0,Male,Weight Loss,Intermediate,6,5,Asthma,Very Active,Moderate Cardio,Calorie Deficit
43,175,117,38.2,Female,Weight Loss,Professional,7,3,Asthma,Very Active,Moderate Cardio,Calorie Deficit
51,195,77,20.2,Female,Weight Loss,Professional,4,1,None,Active,Cardio,Calorie Deficit
27,185,85,24.8,Female,Weight Loss,Professional,4,5,None,Very Active,Cardio,Calorie Deficit
53,172,92,31.1,Female,Weight Loss,Intermediate,5,0,Hypertension,Active,Cardio,Low Sodium Balanced
31,150,57,25.3,Female,Endurance,Intermediate,4,4,None,Active,Cardio,Balanced
48,189,117,32.8,Female,Flexibility,Intermediate,4,3,None,Active,Flexibility,Balanced
32,164,75,27.9,Female,Muscle Gain,Intermediate,3,5,None,Active,Strength,High Protein
25,170,119,41.2,Male,Endurance,Intermediate,4,5,None,Very Active,Cardio,Balanced
31,196,112,29.2,Male,Flexibility,Professional,5,3,None,Very Active,Flexibility,Balanced
40,158,48,19.2,Male,Weight Loss,Beginner,1,5,None,Active,Cardio,Calorie Deficit
57,158,63,25.2,Female,Flexibility,Professional,5,3,None,Very Active,Flexibility,Balanced
38,159,114,45.1,Male,Flexibility,Beginner,3,3,None,Active,Flexibility,Balanced
33,175,57,18.6,Female,Weight Loss,Intermediate,4,5,None,Very Active,Cardio,Calorie Deficit
35,190,67,18.6,Female,Weight Loss,Beginner,2,5,None,Active,Cardio,Calorie Deficit
41,184,119,35.1,Female,Weight Loss,Professional,6,7,Diabetes,Very Active,Cardio,Low GI Balanced
43,174,45,14.9,Male,Muscle Gain,Professional,2,3,Diabetes,Active,Strength,Low GI Balanced
42,175,98,32.0,Male,Weight Loss,Beginner,2,4,None,Active,Cardio,Calorie Deficit
58,160,115,44.9,Male,Muscle Gain,Intermediate,5,5,Hypertension,Very Active,Strength,Low Sodium Balanced
46,187,59,16.9,Male,Weight Loss,Intermediate,4,6,None,Very Active,Cardio,Calorie Deficit
32,151,109,47.8,Male,Muscle Gain,Professional,4,2,Hypertension,Active,Strength,Low Sodium Balanced
18,156,115,47.3,Female,Flexibility,Beginner,4,5,None,Very Active,Flexibility,Balanced
42,167,59,21.2,Female,Endurance,Intermediate,4,4,None,Active,Cardio,Balanced
24,176,65,21.0,Female,Flexibility,Intermediate,5,3,None,Very Active,Flexibility,Balanced
26,183,63,18.8,Female,Flexibility,Professional,6,4,None,Very Active,Flexibility,Balanced
41,176,104,33.6,Male,Weight Loss,Intermediate,4,3,None,Active,Cardio,Calorie Deficit
18,166,77,27.9,Female,Muscle Gain,Beginner,3,4,Joint Pain,Active,Low-Impact Strength/Range,High Protein
25,192,93,25.2,Female,Endurance,Professional,3,6,None,Active,Cardio,Balanced
41,193,79,21.2,Male,Weight Loss,Professional,4,4,None,Active,Cardio,Calorie Deficit
28,173,88,29.4,Female,Weight Loss,Beginner,2,4,None,Active,Cardio,Calorie Deficit
34,174,55,18.2,Male,Weight Loss,Professional,5,4,None,Very Active,Cardio,Calorie Deficit
25,156,116,47.7,Female,Flexibility,Intermediate,4,1,None,Active,Flexibility,Balanced
52,155,118,49.1,Non-binary/Other,Muscle Gain,Intermediate,3,3,None,Active,Strength,High Protein
52,173,110,36.8,Male,Muscle Gain,Beginner,0,4,None,Lightly Active,Strength,High Protein
50,182,90,27.2,Female,Endurance,Intermediate,4,3,Diabetes,Active,Cardio,Low GI Balanced
22,198,53,13.5,Female,Muscle Gain,Beginner,2,2,None,Lightly Active,Strength,High Protein
59,178,47,14.8,Female,Muscle Gain,Beginner,4,4,None,Active,Strength,High Protein
56,192,70,19.0,Male,Weight Loss,Intermediate,1,3,None,Lightly Active,Cardio,Calorie Deficit
58,171,116,39.7,Female,Weight Loss,Beginner,3,3,Heart Condition,Active,Low-Impact Cardio,Calorie Deficit
45,175,92,30.0,Male,Flexibility,Intermediate,6,4,Joint Pain,Very Active,Low-Impact Strength/Range,Balanced
24,177,110,35.1,Male,Weight Loss,Professional,3,2,None,Active,Cardio,Calorie Deficit
26,199,114,28.8,Male,Weight Loss,Professional,5,6,None,Very Active,Cardio,Calorie Deficit
25,170,72,24.9,Female,Weight Loss,Beginner,1,6,None,Active,Cardio,Calorie Deficit
29,198,70,17.9,Female,Weight Loss,Intermediate,4,5,None,Very Active,Cardio,Calorie Deficit
51,156,69,28.4,Female,Flexibility,Intermediate,4,2,None,Active,Flexibility,Balanced
50,166,56,20.3,Female,Weight Loss,Professional,5,5,Hypertension,Very Active,Cardio,Low Sodium Balanced
40,169,49,17.2,Male,Endurance,Professional,5,6,None,Very Active,Cardio,Balanced
41,190,92,25.5,Male,Endurance,Intermediate,6,5,None,Very Active,Cardio,Balanced
54,198,81,20.7,Male,Endurance,Beginner,1,1,None,Lightly Active,Cardio,Balanced
52,169,88,30.8,Male,Endurance,Professional,2,5,None,Active,Cardio,Balanced
57,171,59,20.2,Male,Weight Loss,Beginner,5,5,None,Very Active,Cardio,Calorie Deficit
39,177,87,27.8,Male,Endurance,Beginner,3,4,None,Active,Cardio,Balanced
44,189,92,25.8,Male,Weight Loss,Professional,7,5,None,Very Active,Cardio,Calorie Deficit
52,198,114,29.1,Male,Flexibility,Beginner,3,3,None,Active,Flexibility,Balanced
18,156,90,37.0,Male,Endurance,Beginner,4,4,None,Active,Cardio,Balanced
52,150,87,38.7,Male,Muscle Gain,Intermediate,4,1,None,Active,Strength,High Protein
54,181,65,19.8,Female,Endurance,Beginner,4,4,Joint Pain,Active,Low-Impact Strength/Range,Balanced
31,162,67,25.5,Female,Endurance,Intermediate,6,2,None,Very Active,Cardio,Balanced
20,179,91,28.4,Female,Weight Loss,Professional,5,4,None,Very Active,Cardio,Calorie Deficit
18,172,59,19.9,Male,Endurance,Professional,3,3,None,Active,Cardio,Balanced
22,168,69,24.4,Male,Muscle Gain,Intermediate,3,4,None,Active,Strength,High Protein
43,181,80,24.4,Female,Weight Loss,Professional,4,2,None,Active,Cardio,Calorie Deficit
31,179,119,37.1,Male,Weight Loss,Beginner,2,5,None,Active,Cardio,Calorie Deficit
56,178,95,30.0,Male,Flexibility,Beginner,2,5,Joint Pain,Active,Low-Impact Strength/Range,Balanced
44,198,59,15.0,Male,Flexibility,Beginner,3,2,None,Active,Flexibility,Balanced
26,194,112,29.8,Male,Endurance,Professional,5,2,None,Active,Cardio,Balanced
32,178,65,20.5,Male,Flexibility,Beginner,3,2,Joint Pain,Active,Low-Impact Strength/Range,Balanced
32,179,57,17.8,Male,Flexibility,Professional,5,6,None,Very Active,Flexibility,Balanced
43,165,63,23.1,Female,Flexibility,Beginner,1,4,None,Lightly Active,Flexibility,Balanced
59,189,78,21.8,Male,Weight Loss,Intermediate,2,4,None,Active,Cardio,Calorie Deficit
30,168,112,39.7,Male,Weight Loss,Professional,3,2,None,Active,Cardio,Calorie Deficit
49,167,96,34.4,Female,Weight Loss,Professional,5,5,None,Very Active,Cardio,Calorie Deficit
56,150,71,31.6,Male,Flexibility,Beginner,2,6,Diabetes,Active,Flexibility,Low GI Balanced
49,163,73,27.5,Male,Weight Loss,Professional,4,6,None,Very Active,Cardio,Calorie Deficit
21,196,72,18.7,Female,Flexibility,Professional,5,5,None,Very Active,Flexibility,Balanced
47,199,79,19.9,Male,Weight Loss,Intermediate,5,1,None,Active,Cardio,Calorie Deficit
54,151,52,22.8,Male,Weight Loss,Intermediate,0,2,None,Sedentary,Cardio,Calorie Deficit
40,177,60,19.2,Male,Muscle Gain,Beginner,3,0,None,Lightly Active,Strength,High Protein
56,198,80,20.4,Male,Endurance,Intermediate,5,3,Hypertension,Very Active,Cardio,Low Sodium Balanced
32,199,74,18.7,Female,Flexibility,Beginner,4,2,None,Active,Flexibility,Balanced
46,179,62,19.4,Female,Muscle Gain,Beginner,5,3,Joint Pain,Very Active,Low-Impact Strength/Range,High Protein
53,187,46,13.2,Male,Weight Loss,Beginner,0,3,None,Lightly Active,Cardio,Calorie Deficit
30,153,93,39.7,Female,Flexibility,Professional,3,6,None,Active,Flexibility,Balanced
49,150,48,21.3,Female,Weight Loss,Intermediate,6,5,None,Very Active,Cardio,Calorie Deficit
24,157,119,48.3,Male,Endurance,Beginner,3,5,None,Active,Cardio,Balanced
39,178,51,16.1,Female,Muscle Gain,Intermediate,4,5,None,Very Active,Strength,High Protein
45,188,118,33.4,Male,Endurance,Beginner,3,1,None,Active,Cardio,Balanced
19,152,83,35.9,Male,Muscle Gain,Intermediate,5,5,None,Very Active,Strength,High Protein
59,181,57,17.4,Male,Weight Loss,Intermediate,6,3,Joint Pain,Very Active,Low-Impact Strength/Range,Calorie Deficit
23,159,75,29.7,Male,Endurance,Beginner,7,4,None,Very Active,Cardio,Balanced
45,159,115,45.5,Male,Endurance,Professional,6,3,None,Very Active,Cardio,Balanced
45,168,107,37.9,Female,Weight Loss,Intermediate,3,7,Hypertension,Very Active,Cardio,Low Sodium Balanced
37,195,100,26.3,Male,Endurance,Professional,7,3,None,Very Active,Cardio,Balanced
47,183,86,25.7,Male,Flexibility,Professional,2,3,None,Active,Flexibility,Balanced
28,182,105,31.7,Male,Muscle Gain,Beginner,2,6,None,Active,Strength,High Protein
45,172,86,29.1,Female,Muscle Gain,Beginner,5,0,None,Active,Strength,High Protein
42,177,100,31.9,Female,Muscle Gain,Beginner,2,5,None,Active,Strength,High Protein
56,181,80,24.4,Female,Flexibility,Intermediate,3,5,None,Active,Flexibility,Balanced
50,199,112,28.3,Female,Muscle Gain,Beginner,1,5,None,Active,Strength,High Protein
18,156,51,21.0,Female,Weight Loss,Beginner,4,7,None,Very Active,Cardio,Calorie Deficit
44,178,98,30.9,Male,Endurance,Intermediate,4,7,None,Very Active,Cardio,Balanced
30,157,45,18.3,Female,Flexibility,Intermediate,5,1,None,Active,Flexibility,Balanced
58,150,88,39.1,Female,Muscle Gain,Beginner,2,5,None,Active,Strength,High Protein
20,152,89,38.5,Non-binary/Other,Weight Loss,Beginner,4,4,None,Active,Cardio,Calorie Deficit
56,173,91,30.4,Female,Endurance,Beginner,4,4,None,Active,Cardio,Balanced
23,172,57,19.3,Male,Endurance,Beginner,2,2,None,Lightly Active,Cardio,Balanced
25,157,66,26.8,Male,Flexibility,Professional,5,5,None,Very Active,Flexibility,Balanced
44,196,65,16.9,Male,Flexibility,Professional,4,7,None,Very Active,Flexibility,Balanced
26,186,53,15.3,Female,Flexibility,Beginner,6,6,None,Very Active,Flexibility,Balanced
54,152,70,30.3,Male,Weight Loss,Professional,5,4,Asthma,Very Active,Moderate Cardio,Calorie Deficit
50,182,53,16.0,Male,Weight Loss,Intermediate,6,1,None,Very Active,Cardio,Calorie Deficit
59,177,59,18.8,Female,Flexibility,Professional,4,4,None,Active,Flexibility,Balanced
41,196,54,14.1,Male,Muscle Gain,Professional,6,6,None,Very Active,Strength,High Protein
32,157,86,34.9,Female,Endurance,Beginner,4,5,None,Very Active,Cardio,Balanced
49,183,116,34.6,Male,Endurance,Professional,6,4,None,Very Active,Cardio,Balanced
49,184,68,20.1,Male,Weight Loss,Professional,7,1,Hypertension,Very Active,Cardio,Low Sodium Balanced
41,181,93,28.4,Male,Endurance,Professional,5,4,None,Very Active,Cardio,Balanced
58,173,70,23.4,Female,Muscle Gain,Professional,3,4,None,Active,Strength,High Protein
29,163,81,30.5,Male,Endurance,Intermediate,5,6,None,Very Active,Cardio,Balanced
56,181,112,34.2,Male,Weight Loss,Beginner,4,4,None,Active,Cardio,Calorie Deficit
19,195,94,24.7,Female,Weight Loss,Beginner,3,3,None,Active,Cardio,Calorie Deficit
20,192,68,18.4,Male,Muscle Gain,Intermediate,3,4,None,Active,Strength,High Protein
54,165,63,23.1,Female,Muscle Gain,Professional,5,1,None,Active,Strength,High Protein
34,153,104,44.4,Female,Endurance,Intermediate,3,7,None,Very Active,Cardio,Balanced
19,186,83,24.0,Male,Endurance,Professional,5,4,None,Very Active,Cardio,Balanced
19,170,118,40.8,Female,Weight Loss,Intermediate,4,4,None,Active,Cardio,Calorie Deficit
45,163,62,23.3,Male,Muscle Gain,Beginner,4,3,None,Active,Strength,High Protein
40,180,63,19.4,Female,Muscle Gain,Beginner,2,5,None,Active,Strength,High Protein
54,197,80,20.6,Male,Muscle Gain,Beginner,2,4,None,Active,Strength,High Protein
49,167,118,42.3,Female,Endurance,Professional,4,5,None,Very Active,Cardio,Balanced
50,156,99,40.7,Male,Muscle Gain,Professional,4,3,None,Active,Strength,High Protein
18,159,113,44.7,Female,Weight Loss,Intermediate,5,3,None,Very Active,Cardio,Calorie Deficit
36,156,91,37.4,Male,Weight Loss,Intermediate,6,2,Asthma,Very Active,Moderate Cardio,Calorie Deficit
19,182,93,28.1,Male,Endurance,Beginner,2,4,None,Active,Cardio,Balanced
43,172,77,26.0,Male,Flexibility,Professional,6,1,None,Very Active,Flexibility,Balanced
49,170,65,22.5,Male,Endurance,Intermediate,6,4,None,Very Active,Cardio,Balanced
23,168,66,23.4,Female,Flexibility,Professional,6,6,None,Very Active,Flexibility,Balanced
49,197,92,23.7,Male,Muscle Gain,Professional,3,6,None,Active,Strength,High Protein
21,168,81,28.7,Female,Endurance,Beginner,5,3,Asthma,Very Active,Moderate Cardio,Balanced
28,185,59,17.2,Female,Weight Loss,Beginner,2,3,None,Active,Cardio,Calorie Deficit
34,178,79,24.9,Female,Muscle Gain,Professional,4,1,None,Active,Strength,High Protein
55,167,115,41.2,Male,Weight Loss,Professional,2,5,None,Active,Cardio,Calorie Deficit
41,151,76,33.3,Male,Muscle Gain,Professional,5,6,None,Very Active,Strength,High Protein
22,150,55,24.4,Female,Endurance,Professional,3,3,None,Active,Cardio,Balanced
51,196,54,14.1,Male,Flexibility,Beginner,2,3,None,Active,Flexibility,Balanced
23,154,117,49.3,Male,Muscle Gain,Intermediate,3,6,None,Active,Strength,High Protein
39,169,101,35.4,Female,Flexibility,Beginner,4,6,None,Very Active,Flexibility,Balanced
28,160,69,27.0,Female,Muscle Gain,Intermediate,6,3,None,Very Active,Strength,High Protein
33,191,46,12.6,Female,Weight Loss,Professional,4,4,None,Active,Cardio,Calorie Deficit
50,151,108,47.4,Male,Weight Loss,Intermediate,6,3,Heart Condition,Very Active,Low-Impact Cardio,Calorie Deficit
26,152,79,34.2,Female,Muscle Gain,Beginner,4,1,None,Active,Strength,High Protein
23,172,51,17.2,Male,Flexibility,Beginner,4,6,None,Very Active,Flexibility,Balanced
33,161,62,23.9,Male,Endurance,Professional,3,6,None,Active,Cardio,Balanced
46,169,111,38.9,Female,Endurance,Beginner,4,5,None,Very Active,Cardio,Balanced
20,154,86,36.3,Male,Weight Loss,Professional,7,1,None,Very Active,Cardio,Calorie Deficit
37,186,83,24.0,Male,Endurance,Beginner,4,5,None,Very Active,Cardio,Balanced
53,187,85,24.3,Male,Weight Loss,Beginner,2,3,Diabetes,Active,Cardio,Low GI Balanced
36,179,119,37.1,Female,Endurance,Professional,5,3,None,Very Active,Cardio,Balanced
43,158,68,27.2,Female,Muscle Gain,Intermediate,4,4,None,Active,Strength,High Protein
20,183,104,31.1,Female,Weight Loss,Beginner,3,1,None,Active,Cardio,Calorie Deficit
36,193,90,24.2,Female,Weight Loss,Intermediate,2,5,None,Active,Cardio,Calorie Deficit
37,184,63,18.6,Male,Muscle Gain,Beginner,2,4,None,Active,Strength,High Protein
49,171,112,38.3,Male,Weight Loss,Beginner,4,2,None,Active,Cardio,Calorie Deficit
24,193,86,23.1,Male,Endurance,Beginner,5,2,None,Active,Cardio,Balanced
58,173,76,25.4,Male,Endurance,Beginner,1,2,None,Lightly Active,Cardio,Balanced
50,166,83,30.1,Male,Weight Loss,Intermediate,7,1,Hypertension,Very Active,Cardio,Low Sodium Balanced
57,159,80,31.6,Female,Endurance,Intermediate,3,4,None,Active,Cardio,Balanced
56,179,80,25.0,Male,Flexibility,Beginner,3,5,None,Active,Flexibility,Balanced
35,195,47,12.4,Male,Weight Loss,Beginner,4,0,None,Active,Cardio,Calorie Deficit
57,172,117,39.5,Male,Muscle Gain,Intermediate,5,1,Hypertension,Active,Strength,Low Sodium Balanced
18,181,52,15.9,Male,Flexibility,Professional,7,4,None,Very Active,Flexibility,Balanced
28,166,114,41.4,Female,Weight Loss,Professional,4,6,None,Very Active,Cardio,Calorie Deficit
45,199,85,21.5,Male,Muscle Gain,Intermediate,6,3,None,Very Active,Strength,High Protein
42,166,112,40.6,Male,Endurance,Beginner,1,3,None,Lightly Active,Cardio,Balanced
40,163,57,21.5,Female,Muscle Gain,Beginner,4,4,None,Active,Strength,High Protein
48,158,93,37.3,Male,Flexibility,Professional,6,3,None,Very Active,Flexibility,Balanced
47,189,104,29.1,Male,Endurance,Professional,6,0,None,Active,Cardio,Balanced
59,151,46,20.2,Male,Weight Loss,Intermediate,3,5,None,Active,Cardio,Calorie Deficit
52,194,104,27.6,Female,Endurance,Professional,7,5,None,Very Active,Cardio,Balanced
24,174,49,16.2,Non-binary/Other,Weight Loss,Intermediate,2,4,None,Active,Cardio,Calorie Deficit
33,188,88,24.9,Female,Weight Loss,Professional,2,5,Diabetes,Active,Cardio,Low GI Balanced
43,158,71,28.4,Male,Muscle Gain,Professional,6,5,None,Very Active,Strength,High Protein
19,171,76,26.0,Female,Muscle Gain,Professional,5,3,None,Very Active,Strength,High Protein
18,192,65,17.6,Male,Muscle Gain,Beginner,4,3,None,Active,Strength,High Protein
29,195,52,13.7,Male,Flexibility,Beginner,2,2,None,Lightly Active,Flexibility,Balanced
22,153,116,49.6,Male,Flexibility,Beginner,1,2,None,Lightly Active,Flexibility,Balanced
54,175,94,30.7,Male,Muscle Gain,Professional,6,5,None,Very Active,Strength,High Protein
49,178,111,35.0,Female,Flexibility,Intermediate,4,6,None,Very Active,Flexibility,Balanced
26,194,88,23.4,Female,Endurance,Intermediate,2,7,None,Active,Cardio,Balanced
58,183,102,30.5,Female,Endurance,Intermediate,5,5,None,Very Active,Cardio,Balanced
