Age,Height_cm,Weight_kg,BMI,Gender,FitnessGoal,Level,WorkoutsPerWeek,WalksPerWeek,HealthCondition,ActivityLevel,WorkoutType,DietType
52,172,47,15.9,Female,Flexibility,Intermediate,4,3,None,Active,Flexibility,Balanced
36,186,114,33.0,Female,Flexibility,Beginner,3,1,None,Active,Flexibility,Balanced
33,160,46,18.0,Male,Endurance,Beginner,3,5,None,Active,Cardio,Balanced
20,155,88,36.6,Male,Weight Loss,Professional,6,4,None,Very Active,Cardio,Calorie Deficit
37,167,46,16.5,Female,Endurance,Professional,6,5,None,Very Active,Cardio,Balanced
41,170,79,27.3,Male,Endurance,Intermediate,5,5,None,Very Active,Cardio,Balanced
50,191,74,20.3,Female,Flexibility,Beginner,1,5,None,Active,Flexibility,Balanced
41,185,52,15.2,Male,Endurance,Intermediate,5,6,None,Very Active,Cardio,Balanced
28,190,66,18.3,Male,Flexibility,Professional,6,1,None,Very Active,Flexibility,Balanced
25,187,88,25.2,Male,Flexibility,Professional,6,5,None,Very Active,Flexibility,Balanced
53,183,102,30.5,Male,Muscle Gain,Intermediate,3,6,None,Active,Strength,High Protein
55,166,80,29.0,Male,Endurance,Professional,7,3,None,Very Active,Cardio,Balanced
57,186,113,32.7,Female,Weight Loss,Intermediate,5,5,None,Very Active,Cardio,Calorie Deficit
37,174,75,24.8,Male,Muscle Gain,Beginner,1,3,None,Lightly Active,Strength,High Protein
52,187,91,26.0,Female,Flexibility,Intermediate,3,7,Diabetes,Very Active,Flexibility,Low GI Balanced
42,161,99,38.2,Male,Flexibility,Beginner,5,0,None,Active,Flexibility,Balanced
52,172,106,35.8,Male,Weight Loss,Beginner,0,4,None,Lightly Active,Cardio,Calorie Deficit
42,191,74,20.3,Male,Flexibility,Professional,7,2,None,Very Active,Flexibility,Balanced
46,171,99,33.9,Female,Endurance,Professional,6,5,None,Very Active,Cardio,Balanced
35,170,60,20.8,Male,Muscle Gain,Professional,5,2,None,Active,Strength,High Protein
35,176,56,18.1,Female,Flexibility,Intermediate,3,3,None,Active,Flexibility,Balanced
19,180,61,18.8,Male,Flexibility,Intermediate,3,4,None,Active,Flexibility,Balanced
52,155,60,25.0,Female,Weight Loss,Professional,7,6,None,Very Active,Cardio,Calorie Deficit
33,176,56,18.1,Male,Endurance,Intermediate,3,3,None,Active,Cardio,Balanced
58,189,52,14.6,Female,Flexibility,Professional,6,2,Heart Condition,Very Active,Low-Impact Cardio,Balanced
53,183,47,14.0,Female,Weight Loss,Intermediate,3,5,None,Active,Cardio,Calorie Deficit
50,161,60,23.1,Female,Flexibility,Beginner,1,4,None,Lightly Active,Flexibility,Balanced
21,194,74,19.7,Male,Weight Loss,Beginner,0,6,None,Lightly Active,Cardio,Calorie Deficit
50,156,67,27.5,Male,Weight Loss,Professional,5,2,None,Active,Cardio,Calorie Deficit
31,159,49,19.4,Male,Endurance,Intermediate,7,5,None,Very Active,Cardio,Balanced
38,194,109,29.0,Female,Flexibility,Intermediate,3,3,None,Active,Flexibility,Balanced
37,166,74,26.9,Female,Endurance,Beginner,2,2,None,Lightly Active,Cardio,Balanced
25,175,65,21.2,Female,Weight Loss,Beginner,2,5,None,Active,Cardio,Calorie Deficit
24,170,114,39.4,Male,Muscle Gain,Professional,5,5,None,Very Active,Strength,High Protein
20,177,66,21.1,Male,Flexibility,Beginner,3,5,None,Active,Flexibility,Balanced
34,195,116,30.5,Male,Muscle Gain,Professional,7,3,None,Very Active,Strength,High Protein
50,151,76,33.3,Female,Flexibility,Beginner,3,3,Asthma,Active,Flexibility,Balanced
29,192,77,20.9,Female,Endurance,Beginner,3,3,None,Active,Cardio,Balanced
39,150,60,26.7,Female,Endurance,Intermediate,2,7,Diabetes,Active,Cardio,Low GI Balanced
39,185,82,24.0,Male,Endurance,Beginner,6,3,None,Very Active,Cardio,Balanced
47,175,58,18.9,Female,Endurance,Beginner,2,3,None,Active,Cardio,Balanced
55,178,80,25.2,Female,Endurance,Professional,3,3,Joint Pain,Active,Low-Impact Strength/Range,Balanced
55,170,67,23.2,Male,Muscle Gain,Beginner,3,4,None,Active,Strength,High Protein
25,160,110,43.0,Female,Endurance,Professional,5,3,None,Very Active,Cardio,Balanced
44,189,46,12.9,Female,Weight Loss,Beginner,2,6,None,Active,Cardio,Calorie Deficit
44,160,117,45.7,Female,Weight Loss,Beginner,3,3,None,Active,Cardio,Calorie Deficit
51,185,109,31.8,Female,Muscle Gain,Professional,6,6,Heart Condition,Very Active,Low-Impact Cardio,High Protein
38,198,119,30.4,Male,Flexibility,Intermediate,3,2,None,Active,Flexibility,Balanced
47,188,111,31.4,Male,Weight Loss,Professional,6,5,None,Very Active,Cardio,Calorie Deficit
50,189,96,26.9,Female,Flexibility,Professional,5,6,None,Very Active,Flexibility,Balanced
45,184,106,31.3,Male,Muscle Gain,Professional,5,2,None,Active,Strength,High Protein
50,183,67,20.0,Female,Flexibility,Intermediate,4,7,Hypertension,Very Active,Flexibility,Low Sodium Balanced
22,196,70,18.2,Female,Flexibility,Beginner,2,3,None,Active,Flexibility,Balanced
36,173,112,37.4,Female,Flexibility,Professional,6,6,None,Very Active,Flexibility,Balanced
21,171,99,33.9,Non-binary/Other,Flexibility,Professional,5,5,None,Very Active,Flexibility,Balanced
52,154,50,21.1,Male,Muscle Gain,Intermediate,3,3,None,Active,Strength,High Protein
34,182,79,23.8,Male,Weight Loss,Professional,5,3,None,Very Active,Cardio,Calorie Deficit
45,185,66,19.3,Male,Endurance,Beginner,7,3,None,Very Active,Cardio,Balanced
47,196,87,22.6,Male,Flexibility,Intermediate,4,2,None,Active,Flexibility,Balanced
46,169,59,20.7,Male,Weight Loss,Beginner,5,2,None,Active,Cardio,Calorie Deficit
23,168,104,36.8,Male,Weight Loss,Beginner,2,1,None,Lightly Active,Cardio,Calorie Deficit
52,184,56,16.5,Female,Muscle Gain,Intermediate,1,4,None,Lightly Active,Strength,High Protein
58,192,93,25.2,Female,Weight Loss,Professional,4,5,None,Very Active,Cardio,Calorie Deficit
54,166,86,31.2,Male,Muscle Gain,Beginner,2,2,None,Lightly Active,Strength,High Protein
41,194,82,21.8,Male,Flexibility,Beginner,2,2,None,Lightly Active,Flexibility,Balanced
46,192,89,24.1,Female,Flexibility,Beginner,0,4,None,Lightly Active,Flexibility,Balanced
48,183,79,23.6,Male,Endurance,Beginner,5,2,None,Active,Cardio,Balanced
52,158,74,29.6,Male,Endurance,Intermediate,5,2,Heart Condition,Active,Low-Impact Cardio,Balanced
50,175,74,24.2,Male,Endurance,Intermediate,5,2,None,Active,Cardio,Balanced
38,151,50,21.9,Female,Weight Loss,Beginner,1,6,None,Active,Cardio,Calorie Deficit
49,158,111,44.5,Male,Flexibility,Professional,3,6,None,Active,Flexibility,Balanced
40,158,51,20.4,Female,Muscle Gain,Beginner,0,3,None,Lightly Active,Strength,High Protein
50,189,96,26.9,Male,Endurance,Professional,6,5,None,Very Active,Cardio,Balanced
20,166,58,21.0,Female,Muscle Gain,Beginner,5,4,None,Very Active,Strength,High Protein
35,150,117,52.0,Male,Muscle Gain,Professional,5,5,None,Very Active,Strength,High Protein
42,174,59,19.5,Male,Endurance,Beginner,1,5,Diabetes,Active,Cardio,Low GI Balanced
59,192,65,17.6,Female,Flexibility,Professional,5,5,None,Very Active,Flexibility,Balanced
48,189,79,22.1,Female,Endurance,Beginner,2,3,None,Active,Cardio,Balanced
20,191,110,30.2,Female,Muscle Gain,Beginner,2,0,None,Lightly Active,Strength,High Protein
57,174,46,15.2,Female,Endurance,Professional,5,4,None,Very Active,Cardio,Balanced
41,188,79,22.4,Female,Muscle Gain,Intermediate,5,6,None,Very Active,Strength,High Protein
49,184,64,18.9,Female,Muscle Gain,Professional,3,4,None,Active,Strength,High Protein
39,152,54,23.4,Female,Endurance,Intermediate,1,6,None,Active,Cardio,Balanced
40,199,69,17.4,Male,Weight Loss,Beginner,7,7,None,Very Active,Cardio,Calorie Deficit
19,186,110,31.8,Male,Endurance,Professional,4,2,None,Active,Cardio,Balanced
44,193,69,18.5,Male,Weight Loss,Professional,2,5,None,Active,Cardio,Calorie Deficit
59,193,98,26.3,Female,Muscle Gain,Professional,3,5,None,Active,Strength,High Protein
19,179,77,24.0,Male,Muscle Gain,Intermediate,1,7,None,Active,Strength,High Protein
43,187,80,22.9,Male,Weight Loss,Intermediate,3,7,None,Very Active,Cardio,Calorie Deficit
34,183,58,17.3,Female,Muscle Gain,Beginner,4,5,None,Very Active,Strength,High Protein
57,161,109,42.1,Female,Weight Loss,Intermediate,3,3,None,Active,Cardio,Calorie Deficit
50,168,98,34.7,Female,Weight Loss,Intermediate,4,5,None,Very Active,Cardio,Calorie Deficit
26,186,96,27.7,Male,Muscle Gain,Beginner,3,1,None,Active,Strength,High Protein
56,193,47,12.6,Female,Flexibility,Professional,5,5,Joint Pain,Very Active,Low-Impact Strength/Range,Balanced
46,198,85,21.7,Male,Weight Loss,Professional,6,6,Hypertension,Very Active,Cardio,Low Sodium Balanced
59,166,50,18.1,Male,Endurance,Beginner,5,3,None,Very Active,Cardio,Balanced
43,159,69,27.3,Male,Endurance,Professional,1,5,None,Active,Cardio,Balanced
52,198,57,14.5,Male,Muscle Gain,Intermediate,5,4,None,Very Active,Strength,High Protein
42,196,52,13.5,Male,Flexibility,Beginner,3,3,None,Active,Flexibility,Balanced
41,161,65,25.1,Female,Muscle Gain,Beginner,6,3,None,Very Active,Strength,High Protein
30,165,112,41.1,Male,Flexibility,Beginner,3,5,None,Active,Flexibility,Balanced
24,173,69,23.1,Female,Weight Loss,Professional,7,6,None,Very Active,Cardio,Calorie Deficit
53,168,112,39.7,Female,Weight Loss,Beginner,4,6,None,Very Active,Cardio,Calorie Deficit
37,157,89,36.1,Male,Weight Loss,Beginner,2,2,None,Lightly Active,Cardio,Calorie Deficit
18,180,104,32.1,Male,Weight Loss,Beginner,3,6,Hypertension,Active,Cardio,Low Sodium Balanced
25,170,56,19.4,Male,Endurance,Professional,7,5,None,Very Active,Cardio,Balanced
33,166,76,27.6,Female,Endurance,Intermediate,6,3,None,Very Active,Cardio,Balanced
31,172,57,19.3,Male,Muscle Gain,Beginner,1,1,None,Lightly Active,Strength,High Protein
29,186,75,21.7,Male,Flexibility,Intermediate,5,3,None,Very Active,Flexibility,Balanced
40,165,64,23.5,Male,Weight Loss,Professional,4,6,None,Very Active,Cardio,Calorie Deficit
32,155,62,25.8,Female,Weight Loss,Professional,1,5,None,Active,Cardio,Calorie Deficit
45,157,104,42.2,Female,Flexibility,Professional,5,5,None,Very Active,Flexibility,Balanced
51,174,107,35.3,Male,Flexibility,Professional,4,3,None,Active,Flexibility,Balanced
19,167,50,17.9,Female,Muscle Gain,Intermediate,5,5,None,Very Active,Strength,High Protein
49,174,76,25.1,Female,Flexibility,Beginner,2,0,None,Lightly Active,Flexibility,Balanced
40,161,87,33.6,Female,Weight Loss,Professional,6,4,None,Very Active,Cardio,Calorie Deficit
39,164,46,17.1,Female,Weight Loss,Professional,1,5,None,Active,Cardio,Calorie Deficit
42,175,104,34.0,Female,Weight Loss,Intermediate,3,2,None,Active,Cardio,Calorie Deficit
39,190,67,18.6,Female,Weight Loss,Intermediate,3,6,None,Active,Cardio,Calorie Deficit
39,194,75,19.9,Female,Weight Loss,Professional,4,3,None,Active,Cardio,Calorie Deficit
59,175,49,16.0,Male,Muscle Gain,Beginner,0,4,None,Lightly Active,Strength,High Protein
23,196,78,20.3,Male,Weight Loss,Beginner,1,3,None,Lightly Active,Cardio,Calorie Deficit
32,181,54,16.5,Male,Muscle Gain,Professional,5,5,None,Very Active,Strength,High Protein
54,159,46,18.2,Female,Weight Loss,Intermediate,3,2,Asthma,Active,Moderate Cardio,Calorie Deficit
50,165,55,20.2,Female,Endurance,Professional,5,0,None,Active,Cardio,Balanced
25,156,94,38.6,Male,Endurance,Professional,4,6,None,Very Active,Cardio,Balanced
22,166,75,27.2,Female,Endurance,Intermediate,6,3,None,Very Active,Cardio,Balanced
56,172,100,33.8,Male,Endurance,Professional,7,6,None,Very Active,Cardio,Balanced
21,175,117,38.2,Male,Muscle Gain,Professional,5,7,None,Very Active,Strength,High Protein
23,170,53,18.3,Non-binary/Other,Muscle Gain,Professional,4,3,None,Active,Strength,High Protein
49,171,65,22.2,Male,Flexibility,Intermediate,2,3,None,Active,Flexibility,Balanced
47,156,117,48.1,Male,Weight Loss,Beginner,5,4,None,Very Active,Cardio,Calorie Deficit
52,163,72,27.1,Female,Endurance,Beginner,0,7,Hypertension,Active,Cardio,Low Sodium Balanced
57,164,106,39.4,Female,Muscle Gain,Intermediate,3,6,Heart Condition,Active,Low-Impact Cardio,High Protein
33,156,51,21.0,Male,Weight Loss,Beginner,2,4,None,Active,Cardio,Calorie Deficit
30,158,60,24.0,Female,Weight Loss,Professional,4,5,None,Very Active,Cardio,Calorie Deficit
59,197,48,12.4,Female,Muscle Gain,Beginner,1,2,None,Lightly Active,Strength,High Protein
47,157,48,19.5,Male,Endurance,Professional,6,7,None,Very Active,Cardio,Balanced
36,199,84,21.2,Male,Flexibility,Beginner,1,7,None,Active,Flexibility,Balanced
34,172,61,20.6,Female,Weight Loss,Intermediate,4,2,None,Active,Cardio,Calorie Deficit
36,178,96,30.3,Male,Flexibility,Beginner,1,3,None,Lightly Active,Flexibility,Balanced
45,167,96,34.4,Female,Endurance,Beginner,0,1,None,Sedentary,Cardio,Balanced
43,180,80,24.7,Female,Endurance,Beginner,5,3,None,Very Active,Cardio,Balanced
54,179,82,25.6,Non-binary/Other,Flexibility,Intermediate,3,5,Diabetes,Active,Flexibility,Low GI Balanced
43,188,94,26.6,Male,Endurance,Beginner,4,3,None,Active,Cardio,Balanced
40,184,107,31.6,Female,Weight Loss,Intermediate,4,2,None,Active,Cardio,Calorie Deficit
26,167,107,38.4,Male,Flexibility,Professional,3,3,None,Active,Flexibility,Balanced
29,191,106,29.1,Male,Endurance,Beginner,5,7,None,Very Active,Cardio,Balanced
18,188,51,14.4,Male,Flexibility,Intermediate,3,5,None,Active,Flexibility,Balanced
18,166,71,25.8,Male,Weight Loss,Intermediate,6,4,None,Very Active,Cardio,Calorie Deficit
51,163,58,21.8,Female,Endurance,Beginner,1,2,None,Lightly Active,Cardio,Balanced
49,180,115,35.5,Male,Weight Loss,Professional,6,7,Asthma,Very Active,Moderate Cardio,Calorie Deficit
42,173,49,16.4,Male,Endurance,Intermediate,0,6,None,Lightly Active,Cardio,Balanced
57,184,99,29.2,Female,Muscle Gain,Beginner,3,3,None,Active,Strength,High Protein
18,193,46,12.3,Male,Endurance,Professional,6,1,None,Very Active,Cardio,Balanced
33,194,106,28.2,Female,Flexibility,Intermediate,6,1,None,Very Active,Flexibility,Balanced
56,183,65,19.4,Male,Endurance,Intermediate,6,2,None,Very Active,Cardio,Balanced
22,152,65,28.1,Female,Weight Loss,Professional,6,5,None,Very Active,Cardio,Calorie Deficit
39,186,54,15.6,Female,Weight Loss,Professional,7,6,None,Very Active,Cardio,Calorie Deficit
46,192,102,27.7,Male,Endurance,Beginner,1,4,None,Lightly Active,Cardio,Balanced
20,189,83,23.2,Male,Flexibility,Beginner,2,5,None,Active,Flexibility,Balanced
29,175,49,16.0,Male,Muscle Gain,Intermediate,3,4,None,Active,Strength,High Protein
43,172,109,36.8,Female,Flexibility,Professional,4,5,None,Very Active,Flexibility,Balanced
33,193,57,15.3,Male,Muscle Gain,Professional,5,5,None,Very Active,Strength,High Protein
54,188,97,27.4,Male,Weight Loss,Professional,5,2,Joint Pain,Active,Low-Impact Strength/Range,Calorie Deficit
39,164,89,33.1,Male,Flexibility,Intermediate,2,3,None,Active,Flexibility,Balanced
46,198,76,19.4,Male,Muscle Gain,Professional,6,5,None,Very Active,Strength,High Protein
31,153,80,34.2,Male,Endurance,Professional,3,1,None,Active,Cardio,Balanced
45,178,104,32.8,Female,Weight Loss,Intermediate,3,3,None,Active,Cardio,Calorie Deficit
22,171,55,18.8,Male,Endurance,Beginner,3,4,None,Active,Cardio,Balanced
47,174,107,35.3,Male,Weight Loss,Beginner,4,7,None,Very Active,Cardio,Calorie Deficit
22,162,65,24.8,Female,Flexibility,Intermediate,5,4,None,Very Active,Flexibility,Balanced
29,167,96,34.4,Female,Flexibility,Professional,5,6,None,Very Active,Flexibility,Balanced
33,182,99,29.9,Male,Weight Loss,Intermediate,2,4,None,Active,Cardio,Calorie Deficit
43,165,70,25.7,Male,Weight Loss,Beginner,3,5,None,Active,Cardio,Calorie Deficit
43,194,112,29.8,Male,Weight Loss,Beginner,1,4,None,Lightly Active,Cardio,Calorie Deficit
38,191,78,21.4,Female,Flexibility,Intermediate,3,6,None,Active,Flexibility,Balanced
56,193,96,25.8,Male,Muscle Gain,Intermediate,4,4,None,Active,Strength,High Protein
53,151,96,42.1,Female,Endurance,Beginner,0,4,None,Lightly Active,Cardio,Balanced
50,184,73,21.6,Female,Endurance,Intermediate,3,5,None,Active,Cardio,Balanced
47,191,82,22.5,Female,Flexibility,Beginner,5,3,None,Very Active,Flexibility,Balanced
54,183,86,25.7,Male,Endurance,Intermediate,7,2,None,Very Active,Cardio,Balanced
40,179,65,20.3,Male,Weight Loss,Intermediate,3,2,None,Active,Cardio,Calorie Deficit
27,162,86,32.8,Male,Muscle Gain,Intermediate,1,0,Diabetes,Sedentary,Strength,Low GI Balanced
22,162,57,21.7,Male,Endurance,Beginner,1,6,None,Active,Cardio,Balanced
53,167,108,38.7,Female,Muscle Gain,Intermediate,3,3,Hypertension,Active,Strength,Low Sodium Balanced
51,181,61,18.6,Female,Weight Loss,Beginner,5,2,Joint Pain,Active,Low-Impact Strength/Range,Calorie Deficit
48,181,53,16.2,Female,Endurance,Beginner,1,5,None,Active,Cardio,Balanced
27,184,85,25.1,Female,Flexibility,Intermediate,5,3,Diabetes,Very Active,Flexibility,Low GI Balanced
36,188,45,12.7,Male,Muscle Gain,Intermediate,2,4,None,Active,Strength,High Protein
49,195,46,12.1,Male,Weight Loss,Beginner,6,2,None,Very Active,Cardio,Calorie Deficit
18,178,104,32.8,Male,Muscle Gain,Beginner,2,6,None,Active,Strength,High Protein
22,198,92,23.5,Female,Endurance,Professional,6,6,None,Very Active,Cardio,Balanced
21,178,73,23.0,Female,Endurance,Beginner,2,6,None,Active,Cardio,Balanced
33,193,54,14.5,Female,Flexibility,Professional,5,4,None,Very Active,Flexibility,Balanced
41,165,102,37.5,Male,Weight Loss,Professional,4,5,None,Very Active,Cardio,Calorie Deficit
33,193,104,27.9,Male,Weight Loss,Professional,3,2,None,Active,Cardio,Calorie Deficit
19,196,65,16.9,Female,Flexibility,Intermediate,6,0,None,Active,Flexibility,Balanced
45,159,72,28.5,Male,Flexibility,Intermediate,6,0,None,Active,Flexibility,Balanced
49,179,119,37.1,Female,Weight Loss,Beginner,5,4,None,Very Active,Cardio,Calorie Deficit
44,174,78,25.8,Female,Muscle Gain,Professional,5,4,None,Very Active,Strength,High Protein
37,188,52,14.7,Female,Muscle Gain,Intermediate,5,4,None,Very Active,Strength,High Protein
41,169,103,36.1,Male,Flexibility,Intermediate,1,0,None,Sedentary,Flexibility,Balanced
29,154,116,48.9,Male,Muscle Gain,Intermediate,3,4,Hypertension,Active,Strength,Low Sodium Balanced
52,150,93,41.3,Male,Weight Loss,Intermediate,3,5,None,Active,Cardio,Calorie Deficit
50,179,61,19.0,Male,Endurance,Intermediate,4,4,None,Active,Cardio,Balanced
50,198,104,26.5,Male,Endurance,Professional,4,5,Asthma,Very Active,Moderate Cardio,Balanced
54,152,89,38.5,Female,Muscle Gain,Professional,3,3,None,Active,Strength,High Protein
29,194,113,30.0,Female,Flexibility,Professional,5,6,None,Very Active,Flexibility,Balanced
20,163,76,28.6,Male,Flexibility,Professional,6,5,None,Very Active,Flexibility,Balanced
18,179,88,27.5,Male,Flexibility,Beginner,2,2,None,Lightly Active,Flexibility,Balanced
50,199,109,27.5,Male,Flexibility,Professional,3,3,Asthma,Active,Flexibility,Balanced
57,153,52,22.2,Male,Flexibility,Intermediate,3,5,Heart Condition,Active,Low-Impact Cardio,Balanced
27,167,116,41.6,Female,Muscle Gain,Professional,4,6,None,Very Active,Strength,High Protein
46,186,87,25.1,Male,Endurance,Beginner,2,3,None,Active,Cardio,Balanced
30,174,45,14.9,Male,Endurance,Intermediate,4,3,None,Active,Cardio,Balanced
29,197,95,24.5,Male,Muscle Gain,Professional,5,6,None,Very Active,Strength,High Protein
48,150,68,30.2,Female,Flexibility,Professional,6,5,None,Very Active,Flexibility,Balanced
19,195,68,17.9,Female,Muscle Gain,Professional,4,4,None,Active,Strength,High Protein
52,164,61,22.7,Male,Endurance,Intermediate,5,4,None,Very Active,Cardio,Balanced
40,158,49,19.6,Female,Weight Loss,Intermediate,3,3,None,Active,Cardio,Calorie Deficit
34,164,64,23.8,Female,Muscle Gain,Beginner,3,4,Asthma,Active,Strength,High Protein
43,198,65,16.6,Female,Flexibility,Intermediate,5,3,None,Very Active,Flexibility,Balanced
25,173,102,34.1,Male,Endurance,Intermediate,2,7,Hypertension,Active,Cardio,Low Sodium Balanced
46,153,75,32.0,Female,Endurance,Professional,3,4,None,Active,Cardio,Balanced
43,161,55,21.2,Female,Endurance,Intermediate,6,4,Joint Pain,Very Active,Low-Impact Strength/Range,Balanced
27,186,96,27.7,Female,Endurance,Professional,4,4,None,Active,Cardio,Balanced
43,186,59,17.1,Female,Flexibility,Professional,6,6,None,Very Active,Flexibility,Balanced
51,192,51,13.8,Female,Weight Loss,Intermediate,1,5,Heart Condition,Active,Low-Impact Cardio,Calorie Deficit
58,155,72,30.0,Male,Endurance,Beginner,4,3,None,Active,Cardio,Balanced
24,188,95,26.9,Female,Muscle Gain,Beginner,2,5,None,Active,Strength,High Protein
21,195,102,26.8,Female,Weight Loss,Intermediate,1,4,None,Lightly Active,Cardio,Calorie Deficit
28,173,49,16.4,Female,Endurance,Beginner,3,4,None,Active,Cardio,Balanced
46,160,49,19.1,Male,Weight Loss,Professional,4,3,None,Active,Cardio,Calorie Deficit
53,162,52,19.8,Female,Muscle Gain,Professional,4,4,None,Active,Strength,High Protein
42,183,108,32.2,Female,Endurance,Intermediate,2,3,None,Active,Cardio,Balanced
38,174,54,17.8,Male,Muscle Gain,Beginner,1,6,None,Active,Strength,High Protein
53,156,82,33.7,Female,Flexibility,Beginner,2,3,None,Active,Flexibility,Balanced
27,153,52,22.2,Female,Endurance,Professional,3,7,None,Very Active,Cardio,Balanced
54,157,69,28.0,Female,Endurance,Intermediate,6,4,Heart Condition,Very Active,Low-Impact Cardio,Balanced
26,169,117,41.0,Male,Endurance,Beginner,0,4,None,Lightly Active,Cardio,Balanced
41,178,110,34.7,Male,Endurance,Intermediate,4,4,None,Active,Cardio,Balanced
52,194,94,25.0,Female,Flexibility,Beginner,1,2,None,Lightly Active,Flexibility,Balanced
52,195,111,29.2,Male,Endurance,Professional,4,4,Joint Pain,Active,Low-Impact Strength/Range,Balanced
53,159,93,36.8,Female,Weight Loss,Professional,7,2,Diabetes,Very Active,Cardio,Low GI Balanced
35,192,80,21.7,Male,Endurance,Intermediate,2,5,None,Active,Cardio,Balanced
56,183,112,33.4,Female,Flexibility,Professional,7,4,None,Very Active,Flexibility,Balanced
49,175,85,27.8,Male,Endurance,Beginner,2,5,None,Active,Cardio,Balanced
41,190,106,29.4,Female,Weight Loss,Professional,6,3,None,Very Active,Cardio,Calorie Deficit
40,198,54,13.8,Male,Flexibility,Intermediate,4,2,None,Active,Flexibility,Balanced
49,152,65,28.1,Male,Flexibility,Intermediate,6,4,Hypertension,Very Active,Flexibility,Low Sodium Balanced
